"rid", "binaryID"
348,1000000100000000000000000000000000000000001000000001000000000001010
781,1000000100000000000000000000000000000000001000000001000000000001011
206,1000000100000000000000000000000000000000001000000001000001001000000
593,1000000100000000000000000000000000000000001000000001000001001000001
603,1000000100000000000000000000000000000000001000000001000001001000010
605,1000000100000000000000000000000000000000001000000001000001001000011
250,1000000100000000000000000000000000000000001000000001001000000000000
547,1000000100000000000000000000000000000000001000000001001000000000010
836,1000000100000000000000000000000000000000001000000001001000000000011
340,1000000100000000000000000000000000000000001000000001001000000000100
136,10000001000000000000000000000000000000000010000000010000000000000000
810,10000001000000000000000000000000000000000010000000010000000000000001
160,10000001000000000000000000000000000000000010000000010000000000010000
620,10000001000000000000000000000000000000000010000000010000000000010001
616,10000001000000000000000000000000000000000010000000010000000000010010
784,10000001000000000000000000000000000000000010000000010000000000010011
349,10000001000000000000000000000000000000000010000000010000000000010100
639,10000001000000000000000000000000000000000010000000010000000000010101
778,10000001000000000000000000000000000000000010000000010000010010000000
755,10000001000000000000000000000000000000000010000000010000010010000010
756,10000001000000000000000000000000000000000010000000010000010010000011
604,10000001000000000000000000000000000000000010000000010000010010000110
251,10000001000000000000000000000000000000000010000000010010000000000000
366,10000001000000000000000000000000000000000010000000010010000000000001
538,10000001000000000000000000000000000000000010000000010010000000000110
832,10000001000000000000000000000000000000000010000000010010000000000111
137,100000010000000000000000000000000000000000100000000100000000000000000
812,100000010000000000000000000000000000000000100000000100000000000000001
161,100000010000000000000000000000000000000000100000000100000000000100000
635,100000010000000000000000000000000000000000100000000100000000000100001
596,100000010000000000000000000000000000000000100000000100000100100000000
757,100000010000000000000000000000000000000000100000000100000100100000001
252,100000010000000000000000000000000000000000100000000100100000000000000
367,100000010000000000000000000000000000000000100000000100100000000000010
568,100000010000000000000000000000000000000000100000000100100000000000011
529,100000010000000000000000000000000000000000100000000100100000000001100
530,100000010000000000000000000000000000000000100000000100100000000001101
