model,tailup,taildown,euclid,AIC,AICc,pseudo_r2,tailup_de,tailup_range,taildown_de,taildown_range,euclid_de,euclid_range,nugget,tailup_prop,taildown_prop,euclid_prop,nugget_prop,total_spatial_de,rank_aic,rank_pseudo_r2,rank_total_spatial_de,range_flag
linear_linear_none,linear,linear,none,-134.19351297082588,-133.28442206173497,0.5741850390171905,0.0028224464468632987,54333.79325169093,2.883550215692113e-4,97843.91188438048,NA,NA,0.0017967240140045215,0.24489733735429167,0.025019917410131626,0,0.15589770621838614,0.00311080146843251,27,34,42,FALSE
mariah_exponential_jbessel,mariah,exponential,jbessel,-133.88637911394912,-132.13637911394912,0.6130842209360131,0.0028222258078714037,2128774.6315313405,1.2551088326762556e-10,2440680.3175628893,0.0018307098697195536,910922.9402486429,1.9836276064776677e-4,0.22508688813888758,1.0010132450592445e-8,0.14600844004439023,0.0158204408705766,0.004652935803101841,28,15,21,TRUE
mariah_linear_jbessel,mariah,linear,jbessel,-133.88438571904592,-132.13438571904592,0.6150537018743112,0.002767336917666312,2135524.013507933,1.8086701127931493e-7,180409.42451961836,0.0018556418169597732,487143.2461217978,1.9544380790630471e-4,0.22107569591893111,1.4449017801949178e-5,0.1482426311887617,0.01561352200019407,0.004623159601637364,29,14,24,TRUE
mariah_mariah_jbessel,mariah,mariah,jbessel,-133.88323399650758,-132.13323399650758,0.611978290450492,0.0028274920605597708,2273716.09564907,2.569266369095299e-7,627330.2873779185,0.0018182369888395447,25812.916654504173,2.051562694409404e-4,0.22615875757898915,2.0550441079188668e-5,0.14543284634323772,0.01640955518620195,0.004645985976036225,30,16,22,TRUE
mariah_mariah_cubic,mariah,mariah,cubic,-133.87731116094685,-132.12731116094685,0.606501304168763,0.0028312074740272824,2425630.8142041285,0.0018194561275278688,7.392378140910011e-5,0.015285954122087247,6022893.9956312105,2.044219793933181e-4,0.05531375068435366,0.035547003722774966,0.29864411670222035,0.003993824721887944,0.0199366177236424,31,19,11,TRUE
mariah_mariah_gaussian,mariah,mariah,gaussian,-133.72663738885186,-131.97663738885186,0.6068800424134815,0.0031002473944717465,1647266.9490391747,0.0017287686126317675,0.0013149102600870178,1.1210658355909222e-6,1278883207224817e10,1.9705325696072566e-4,0.24243544489924498,0.13518753002698558,8.766593759500243e-5,0.015409316722692962,0.004830137072939105,32,17,18,TRUE
mariah_none_gaussian,mariah,none,gaussian,-131.5601850916261,-130.6510941825352,0.6036516463671253,0.0031139865379263077,2038346.902383233,NA,NA,3.0274497663856913e-6,118795.9918749736,0.0017982439510446423,0.2511004413044258,0,2.4412243377027018e-4,0.1450037898946786,0.0031170139876926933,33,20,40,TRUE
mariah_exponential_none,mariah,exponential,none,-131.55606740220784,-130.64697649311694,0.6018997272173701,0.0030696965870819987,1964338.2608859853,4.258246588349482e-5,253171.94397178065,NA,NA,0.0017943897744684904,0.24905839208967762,0.0034549083869680427,0,0.1455869723059843,0.0031122790529654934,34,22,41,TRUE
mariah_linear_none,mariah,linear,none,-131.54817230001194,-130.63908139092104,0.60154395529211,0.0031340294619468544,1917711.3365633835,4.832089294552534e-6,80719.20553729373,NA,NA,0.0017580915868313832,0.2550101967887727,3.931781933981256e-4,0,0.14305266972571917,0.003138861551241407,35,23,39,TRUE
mariah_none_cubic,mariah,none,cubic,-131.53772548954268,-130.62863458045177,0.6012440600502407,0.0032450716094417783,1871243.954815593,NA,NA,8.726308654253845e-7,30565.616941872242,0.0017741645936109756,0.25776165868843887,0,6.931458111442659e-5,0.14092496668020604,0.0032459442403072036,36,24,35,TRUE
epa_exponential_gaussian,epa,exponential,gaussian,-131.41233672248987,-129.66233672248987,0.40223927366193235,0.002653342945379793,58369.67285489266,1.2759813205003114e-8,534.6588101372353,6.09755462002785,1423788.7246278939,0.0017164594738885018,2.599285230578942e-4,1.2499851957117965e-9,0.5973326476354964,1.6814892952810763e-4,6.100207975733043,37,48,4,TRUE
epa_linear_gaussian,epa,linear,gaussian,-131.38881441673763,-129.63881441673763,0.4049991187102169,0.002645868528337593,56179.358939388636,4.633398734039027e-16,13065991974902.244,0.7926637077107397,565718.2283438002,0.0017124025039094897,0.001975220443256341,3.458971526065264e-16,0.5917473008688557,0.0012783599776707442,0.7953095762390777,38,43,10,TRUE
epa_exponential_cubic,epa,exponential,cubic,-131.37380998066996,-129.62380998066996,0.4050377278276851,0.0026551444792278396,58712.57227658336,4.334792782373411e-6,4106.553346184122,16.725970142278243,7011129.382857961,0.0017363197928887712,9.442177163641593e-5,1.5415312326336273e-7,0.5948059495545768,6.174669297830862e-5,16.728629621550255,39,42,1,TRUE
linear_exponential_gaussian,linear,exponential,gaussian,-131.2362475188253,-129.4862475188253,0.4049266253228515,0.0027220240826376302,45920.856062971914,9.078226349052637e-7,148282.6544748381,13.43065118926773,2257854.9532989175,0.0016860749825994771,1.2056544839829936e-4,4.0209799664013314e-8,0.5948780884209327,7.468059801781068e-5,13.433374121173003,40,44,2,TRUE
linear_linear_gaussian,linear,linear,gaussian,-131.20845497096607,-129.45845497096607,0.4055874746008068,0.0027179930157054345,46140.04387913475,3.8642243620032335e-11,21872409.86305905,2.9901170764594784,1012117.66214646,0.0017573223498400577,5.395088483068548e-4,7.670303871632891e-12,0.593524196310203,3.4882023301301075e-4,2.992835069513826,41,41,6,TRUE
linear_exponential_cubic,linear,exponential,cubic,-131.181376149547,-129.431376149547,0.4027751972512378,0.0026949818108590153,48664.0335440701,1.5942396716094776e-6,12155961.654374134,7.549604475906146,4663231.902361867,0.001709396134118236,2.1306695184788446e-4,1.2604158810130599e-7,0.5968764638250904,1.3514593023581024e-4,7.552301051956676,42,46,3,TRUE
epa_linear_cubic,epa,linear,cubic,-130.79844529199667,-129.04844529199667,0.402697953676897,0.002786714937257413,58909.75118151756,4.9134808625374757e-5,247221.93139864577,0.011557257035559083,202594.64526900978,0.0018067360027717162,0.102748561002397,0.0018116423800254241,0.42612594265103115,0.06661590028964946,0.01439310678144187,43,47,12,FALSE
linear_linear_cubic,linear,linear,cubic,-130.42978101675428,-128.67978101675428,0.48934109028243455,0.002658082478063668,50501.66487070319,1.2147895661525785e-4,361599.5477983574,0.0024012077465162453,202035.69569774595,0.0018252981471563407,0.19374257148435647,0.008854369881337028,0.17501946132879592,0.133042507023076,0.005180769181195171,44,38,15,FALSE
mariah_exponential_gaussian,mariah,exponential,gaussian,-127.56641271356469,-125.81641271356469,0.5798304313052832,0.003067272468875211,1851615.7099283452,2.6674598209585794e-7,29695.76343333344,3.174133871410854e-4,111672.58334326789,0.0017942067180908312,0.2488385605975671,2.1640296681650343e-5,0.02575079037551242,0.14555857742495565,0.003384952601998392,45,32,33,TRUE
mariah_linear_gaussian,mariah,linear,gaussian,-127.55812160510371,-125.80812160510371,0.5887822394218264,0.0031120850681629693,1878972.7827100721,4.8352001052452296e-8,302109.49978894286,7.559724734934572e-5,56809.89275689968,0.0017993921367904695,0.256609813448817,3.986908358283041e-6,0.006233439997516104,0.14837052022348216,0.0031877306675133677,46,30,36,TRUE
mariah_linear_cubic,mariah,linear,cubic,-127.54037376268249,-125.79037376268249,0.5998068406586039,0.0032353235060048665,1909184.8982421944,2.0402281760416206e-5,406191.8547241196,7.312244340389522e-8,260001.18393342092,0.0017733271258998135,0.2574511607113034,0.0016235134170135463,5.818725049732663e-6,0.1411126664880294,0.0032557989102086865,47,25,34,TRUE
mariah_exponential_cubic,mariah,exponential,cubic,-127.495933506775,-125.745933506775,0.5852658778787763,0.0032904229072438064,1837660.2607497359,1.516303161219383e-4,175052.41800798842,1.5924952863534135e-8,184947.76151682247,0.0017780916339704416,0.26141927667693854,0.012046806346876538,1.2652141612357693e-6,0.1412667738832475,0.003442069148318608,48,31,32,TRUE
